pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
1543.357143,358.036842,1620.181572,652.398249,1548.941264,394.275393
1543.357143,355.763158,1620.070000,651.980000,1548.950000,393.950000
1543.020000,356.020000,1620.020000,652.020000,1548.990000,393.920000
1542.960000,355.800000,1619.940000,652.090000,1548.980000,394.030000
1543.200000,355.950000,1620.060000,652.080000,1548.990000,394.030000
1542.860000,356.060000,1619.960000,652.070000,1548.950000,394.060000
1542.980000,355.930000,1620.100000,651.830000,1548.940000,394.040000
1543.100000,356.000000,1619.970000,652.010000,1549.090000,393.950000
1543.010000,355.990000,1619.990000,652.060000,1549.090000,394.010000
1542.990000,355.990000,1619.980000,651.990000,NaN,NaN
1542.870000,355.990000,1619.990000,651.960000,NaN,NaN
1543.050000,355.990000,1620.010000,652.020000,NaN,NaN
1543.080000,355.970000,1619.940000,651.940000,NaN,NaN
1542.980000,356.100000,1620.060000,652.030000,NaN,NaN
1543.020000,356.030000,1619.900000,652.100000,NaN,NaN
1542.910000,355.940000,1620.100000,651.940000,NaN,NaN
1542.990000,356.030000,1619.970000,652.090000,NaN,NaN
1542.860000,356.020000,1619.920000,652.080000,NaN,NaN
1543.170000,355.970000,1620.070000,651.820000,NaN,NaN
1542.970000,356.080000,1619.950000,652.070000,NaN,NaN
1543.030000,355.920000,1620.030000,651.950000,NaN,NaN
1542.960000,355.920000,1620.080000,652.020000,NaN,NaN
1542.980000,356.000000,1619.910000,652.050000,NaN,NaN
1543.130000,355.980000,1620.020000,652.010000,NaN,NaN
1542.820000,356.110000,1620.040000,651.960000,NaN,NaN
1543.050000,355.990000,1619.940000,651.920000,NaN,NaN
1542.990000,356.080000,1620.130000,652.030000,NaN,NaN
1542.970000,355.970000,1619.900000,652.020000,NaN,NaN
1542.850000,356.060000,1620.060000,651.970000,NaN,NaN
1543.230000,355.900000,1619.920000,652.060000,NaN,NaN
1542.960000,356.040000,1620.020000,651.790000,NaN,NaN
1543.120000,355.970000,1619.980000,652.360000,NaN,NaN
1542.880000,356.040000,1619.940000,652.120000,NaN,NaN
